ID,Clínica,Plano,Tipo,Status,Data_Abertura,D1_Feito,D3_Feito,Cobranças_Tech,Notas,Data_Finalizacao,Prioridade,Motivo_Impedimento,SLA_Status
1770814212203,Odonto Excellence Araras,100,Instalação,Finalizado,11/02/2026 09:50,Sim,Não,1,[11/02 09:51] O sistema não reconhece subpastas em rede. Solução: Movido o diretório para a pasta raiz da rede (\Panoramica). Tech retornou que a implementação de suporte a subpastas está prevista apenas para o 2º semestre,11/02/2026 09:51,Alta,Bug de Software,✅ Concluído
1770814665348,Odontotop Cantaduvas,100,Bug,Finalizado,11/02/2026 09:57,Sim,Não,0,"[11/02 09:58] Problema Resolvido, bastou retirar a extensão do Web Advisor no navegador, que pertece ao antivirus McAfee, que o problema já foi solucionado e a máquina da clinica se mantem protegida",11/02/2026 09:58,Alta,Erro de Terceiros,🔥 PRIORIDADE ALTA
